Symbol,Name,Market Cap,Country,Sector,Industry
AXNX,Axonics Inc. Common Stock,3072649163.00,United States,Health Care,Medical/Dental Instruments
AXON,Axon Enterprise Inc. Common Stock,11137353794.00,United States,Consumer Non-Durables,Military/Government/Technical
AXSM,Axsome Therapeutics Inc. Common Stock,2761423665.00,United States,Health Care,Major Pharmaceuticals
AXTI,AXT Inc Common Stock,462339000.00,United States,Technology,Semiconductors
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,4146051356.00,United Kingdom,Public Utilities,Electric Utilities: Central
AYLA,Ayala Pharmaceuticals Inc. Common Stock,144062980.00,Israel,Consumer Durables,Specialty Chemicals
AYRO,AYRO Inc. Common Stock,175787960.00,United States,,
AYTU,Aytu BioPharma Inc.  Common Stock,131390511.00,United States,Health Care,Major Pharmaceuticals
AZN,AstraZeneca PLC American Depositary Shares,155826054917.00,United Kingdom,Health Care,Major Pharmaceuticals
AZPN,Aspen Technology Inc. Common Stock,9586703538.00,United States,Technology,EDP Services
AZRX,AzurRx BioPharma Inc. Common Stock,65201644.00,United States,Health Care,Major Pharmaceuticals
AZYO,Aziyo Biologics Inc. Class A Common Stock,110152921.00,United States,Health Care,Medical Specialities
BAND,Bandwidth Inc. Class A Common Stock,3483621128.00,United States,Technology,Computer Software: Prepackaged Software
BANF,BancFirst Corporation Common Stock,2122837592.00,United States,Finance,Major Banks
BANR,Banner Corporation Common Stock,1977904906.00,United States,Finance,Major Banks
BANX,StoneCastle Financial Corp Common Stock,143668554.00,United States,Finance,Trusts Except Educational Religious and Charitable
BAOS,Baosheng Media Group Holdings Limited Ordinary shares,96853195.00,China,Miscellaneous,Business Services
BATRA,Liberty Media Corporation Series A Liberty Braves Common Stock,1463976010.00,United States,Consumer Services,Movies/Entertainment
BATRK,Liberty Media Corporation Series C Liberty Braves Common Stock,1425299029.00,United States,Consumer Services,Movies/Entertainment
BBBY,Bed Bath & Beyond Inc. Common Stock,3084882478.00,United States,Consumer Services,Other Specialty Stores
BBCP,Concrete Pumping Holdings Inc. Common Stock,501210850.00,United States,Consumer Services,Military/Government/Technical
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,85388129.00,United States,Consumer Services,Broadcasting
BBI,Brickell Biotech Inc. Common Stock,63076941.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BBIG,Vinco Ventures Inc. Common Stock,172093240.00,United States,Consumer Non-Durables,Recreational Products/Toys
BBIO,BridgeBio Pharma Inc. Common Stock,9024228923.00,United States,Health Care,Major Pharmaceuticals
BBQ,BBQ Holdings Inc. Common Stock,152828198.00,United States,Consumer Services,Restaurants
BBSI,Barrett Business Services Inc. Common Stock,574963940.00,United States,Technology,Professional Services
BCAB,BioAtla Inc. Common Stock,1439119712.00,United States,Consumer Durables,Specialty Chemicals
BCAC,Brookline Capital Acquisition Corp. Common Stock,73379258.00,United States,,
BCBP,BCB Bancorp Inc. (NJ) Common Stock,227884756.00,United States,Finance,Savings Institutions
BCDA,BioCardia Inc. Common Stock,76407663.00,United States,Health Care,Major Pharmaceuticals
BCEL,Atreca Inc. Class A Common Stock,331675334.00,United States,Health Care,Major Pharmaceuticals
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,145637430.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCML,BayCom Corp Common Stock,193289158.00,United States,Finance,Major Banks
BCOR,Blucora Inc. Common Stock,861324483.00,United States,Finance,Investment Managers
BCOV,Brightcove Inc. Common Stock,581831008.00,United States,Technology,EDP Services
BCOW,1895 Bancorp of Wisconsin Inc. Common Stock,72624137.00,United States,Finance,Banks
BCPC,Balchem Corporation Common Stock,4275024206.00,United States,Basic Industries,Industrial Specialties
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,3043940600.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCTG,BCTG Acquisition Corp. Common Stock,235256636.00,United States,,
BCTX,BriaCell Therapeutics Corp. Common Shares,76964505.00,Canada,,
BCYC,Bicycle Therapeutics plc American Depositary Shares,747370722.00,United Kingdom,Health Care,Major Pharmaceuticals
BCYP,Big Cypress Acquisition Corp. Common stock,147182390.00,United States,,
BDSI,BioDelivery Sciences International Inc. Common Stock,363530974.00,United States,Health Care,Major Pharmaceuticals
BDSX,Biodesix Inc. Common Stock,381157888.00,United States,Health Care,Precision Instruments
BDTX,Black Diamond Therapeutics Inc. Common Stock,465048117.00,United States,Health Care,Major Pharmaceuticals
BEAM,Beam Therapeutics Inc. Common Stock,5872952620.00,United States,Consumer Durables,Specialty Chemicals
BECN,Beacon Roofing Supply Inc. Common Stock,3811055725.00,United States,Capital Goods,Wholesale Distributors
BEEM,Beam Global Common Stock,337449262.00,United States,Technology,Semiconductors
BELFA,Bel Fuse Inc. Class A Common Stock,180693171.00,United States,Capital Goods,Electrical Products
BELFB,Bel Fuse Inc. Class B Common Stock,184644009.00,United States,Capital Goods,Electrical Products
BENE,Benessere Capital Acquisition Corp. Class A Common Stock,148788563.00,United States,,
BFC,Bank First Corporation Common Stock,544812226.00,United States,Finance,Major Banks
BFI,BurgerFi International Inc. Common Stock ,181417301.00,Mexico,Consumer Services,Restaurants
BFIN,BankFinancial Corporation Common Stock,167707766.00,United States,Finance,Major Banks
BFRA,Biofrontera AG American Depositary Shares,186458400.00,Germany,Health Care,Major Pharmaceuticals
BFST,Business First Bancshares Inc. Common Stock,493060325.00,United States,Finance,Major Banks
BGCP,BGC Partners Inc Class A Common Stock,2290953970.00,United States,Finance,Investment Bankers/Brokers/Service
BGFV,Big 5 Sporting Goods Corporation Common Stock,571743887.00,United States,Consumer Services,Other Specialty Stores
BGNE,BeiGene Ltd. American Depositary Shares,33506013235.00,Cayman Islands,Health Care,Major Pharmaceuticals
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares,30439233.00,China,Consumer Non-Durables,Recreational Products/Toys
BHF,Brighthouse Financial Inc. Common Stock,3993709164.00,United States,Finance,Life Insurance
BHSE,Bull Horn Holdings Corp. Ordinary Shares,92250000.00,United States,Finance,Business Services
BHTG,BioHiTech Global Inc. Common Stock,43656973.00,United States,Capital Goods,Industrial Machinery/Components
BIDU,Baidu Inc. ADS,70418001436.00,China,Technology,Computer Software: Programming Data Processing
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,4443401943.00,United States,Technology,Computer Software: Prepackaged Software
